ts,cpu_usage_s,cpu_pressure_some_s,runq_wait_s,mem_bytes,cg_usage_usec,cg_press_some_total_us,node_load1
1788848302.418712411,3092.191905,66.121103,157.877385678,1.834029056e+09,3092224659,66121152,28.67
1788848304.448569621,3096.336895,66.128491,157.901073384,1.834840064e+09,3096371871,66128556,26.61
1788848306.479546348,3100.483162,66.132577,157.91408355,1.835995136e+09,3100516050,66132628,26.61
1788848308.510032691,3104.628996,66.139784,157.927985877,1.83681024e+09,3104661926,66139836,24.80
1788848310.540953906,3108.795319,66.146069,157.939746143,1.85001984e+09,3108834647,66146142,24.80
1788848312.574490909,3112.968625,66.155072,157.970560826,1.849729024e+09,3113005668,66155364,24.80
1788848314.607686611,3117.122676,66.162547,157.992082639,1.85018368e+09,3117155360,66162596,23.05
1788848316.638517192,3121.265971,66.168155,158.002506768,1.850781696e+09,3121298609,66168216,23.05
1788848318.668035971,3125.404413,66.173956,158.01520209,1.85116672e+09,3125437146,66173990,21.53
1788848320.698278165,3129.541722,66.178622,158.03074495,1.85206784e+09,3129574365,66178661,21.53
1788848322.729088523,3133.682323,66.184403,158.042421741,1.852727296e+09,3133717224,66184585,21.53
1788848324.761704555,3137.824765,66.188153,158.047931654,1.852342272e+09,3137855467,66188194,20.12
1788848326.791785679,3141.963962,66.192604,158.057982205,1.853345792e+09,3141994754,66192644,20.12
1788848328.822322448,3146.113039,66.198597,158.070040182,1.853845504e+09,3146146062,66198640,18.83
1788848330.852744523,3150.2586,66.205076,158.084801663,1.854726144e+09,3150295306,66205128,18.83
1788848332.885794017,3154.404005,66.209568,158.095314284,1.855492096e+09,3154443242,66209681,18.83
1788848334.920174418,3158.560602,66.213452,158.104021119,1.856544768e+09,3158593323,66213493,17.48
1788848336.950779801,3162.708762,66.22211,158.141917637,1.857110016e+09,3162743869,66222146,17.48
1788848338.983287554,3166.861503,66.227209,158.156946414,1.856892928e+09,3166894460,66227270,16.40
1788848341.013679007,3171.010459,66.230452,158.159364704,1.857789952e+09,3171041238,66230487,16.40
1788848343.042868224,3175.149157,66.236878,158.183779079,1.858502656e+09,3175184770,66236943,16.40
1788848345.076633678,3179.287387,66.240503,158.188295271,1.859321856e+09,3179318252,66240549,15.25
1788848347.106080570,3183.425837,66.245832,158.202796487,1.860149248e+09,3183458536,66245875,15.25
1788848349.136939634,3187.575964,66.252488,158.228003567,1.86107904e+09,3187608958,66252533,14.51
1788848351.168270177,3191.720582,66.256381,158.234439312,1.861472256e+09,3191751328,66256425,14.51
1788848353.197808912,3195.861303,66.267581,158.270934037,1.861705728e+09,3195892285,66267621,14.51
1788848355.227854488,3200.000237,66.270635,158.273106798,1.862516736e+09,3200032973,66270681,13.59
1788848357.257984554,3204.147193,66.275659,158.287710366,1.863192576e+09,3204178108,66275693,13.59
1788848359.287443052,3208.285125,66.281828,158.310291438,1.864024064e+09,3208317927,66281887,12.98
1788848361.317113656,3212.428398,66.28556,158.317966014,1.865261056e+09,3212465631,66285600,12.98
1788848363.349998922,3216.581834,66.292081,158.342411281,1.866620928e+09,3216617828,66292132,12.98
1788848365.382551011,3220.717065,66.294851,158.346184018,1.865641984e+09,3220749887,66294905,12.10
1788848367.412817793,3224.867133,66.30085,158.36364553,1.866469376e+09,3224901884,66300901,12.10
1788848369.445338663,3229.015505,66.306372,158.385896585,1.888743424e+09,3229048147,66306399,11.45
1788848371.476745012,3233.144803,66.309884,158.387424426,1.889374208e+09,3233177613,66309930,11.45
